sample-id	sample-name	group-id	group-desc
S210421121673	#1 N9.01	NC	Ninhada controle
S210421121674	#2 N11.01	NC	Ninhada controle
S210421121675	#3 N9.05	NC	Ninhada controle
S210421121676	#4 N11.02	NC	Ninhada controle
S210421121688	#16 N7.05	HSD-NC	Grupo dieta high-sugar
S210421121689	#17 N8.05	HSD-NC	Grupo dieta high-sugar
S210421121690	#18 N8.06	HSD-NC	Grupo dieta high-sugar
S210421121698	#26 N1-04	HSD-NC	Grupo dieta high-sugar
S210421121699	#27 N2.04	HSD-NC	Grupo dieta high-sugar
S210421121700	#28 N3.04	HSD-NC	Grupo dieta high-sugar
S210421121701	#29 N4.03	HSD-NC	Grupo dieta high-sugar
S210421121702	#30 N4.04	HSD-NC	Grupo dieta high-sugar
