	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
S210421121688	0.0	0.44066258456503005	0.45761583785745963	0.41897537388010375	0.4405873775271089	0.4443773241881872	0.6060541955502583	0.4873073700565862	0.4848772912212428	0.5274301108712185	0.5782425961131222	0.506910207775366	0.486403407442511	0.4754616751787427	0.5962793476748317
S210421121689	0.44066258456503005	0.0	0.3547550134978588	0.4596013288812532	0.4260178631490228	0.450719205157377	0.5556507571072966	0.5148832371629174	0.5018045317307457	0.4867259532481171	0.6182856242139257	0.5762434378988531	0.4976213453381621	0.500137847370144	0.5726530740239966
S210421121690	0.45761583785745963	0.3547550134978588	0.0	0.49147294142519454	0.4180395870193156	0.4243211815588072	0.5604461847741338	0.5146148294176985	0.4433356018614403	0.5080541234250168	0.6142655125384023	0.560295918420749	0.4770422265041335	0.5041162518400075	0.5715895022873899
S210421121691	0.41897537388010375	0.4596013288812532	0.49147294142519454	0.0	0.4753277706610087	0.44417584965707835	0.6682389537438634	0.5169324577664762	0.562468128371186	0.585550211805728	0.6622903828148717	0.49956265619416795	0.5261140048519721	0.5243293291951256	0.6770361979149774
S210421121692	0.4405873775271089	0.4260178631490228	0.4180395870193156	0.4753277706610087	0.0	0.3135292988830564	0.5605243532407681	0.5135592501856128	0.5269341854682433	0.5383232246244334	0.6067103159376076	0.5737823220238302	0.5317122167921687	0.528898127019354	0.626694759139245
S210421121693	0.4443773241881872	0.450719205157377	0.4243211815588072	0.44417584965707835	0.3135292988830564	0.0	0.5887457558826454	0.5010403727317417	0.5275837467914756	0.5511279524604575	0.6317733779909865	0.5444625988434291	0.5328252085656177	0.5497997812087907	0.6590304042682454
S210421121698	0.6060541955502583	0.5556507571072966	0.5604461847741338	0.6682389537438634	0.5605243532407681	0.5887457558826454	0.0	0.5225973260405089	0.5082462917191325	0.5428673574697891	0.6114797611957993	0.5952611722495116	0.5463463563357106	0.5623294979009109	0.6067553162624526
S210421121699	0.4873073700565862	0.5148832371629174	0.5146148294176985	0.5169324577664762	0.5135592501856128	0.5010403727317417	0.5225973260405089	0.0	0.46519814155661865	0.4336882758605206	0.6119130088319461	0.4873605830086317	0.36027340464736635	0.42771389525732784	0.6019551959955856
S210421121700	0.4848772912212428	0.5018045317307457	0.4433356018614403	0.562468128371186	0.5269341854682433	0.5275837467914756	0.5082462917191325	0.46519814155661865	0.0	0.489125500620135	0.5916946433586733	0.5377970195906808	0.46690713645780174	0.3902912913256862	0.5171806426151508
S210421121701	0.5274301108712185	0.4867259532481171	0.5080541234250168	0.585550211805728	0.5383232246244334	0.5511279524604575	0.5428673574697891	0.4336882758605206	0.489125500620135	0.0	0.5292812458056851	0.5529494003738245	0.48838703949479634	0.5045603622111274	0.5959926704262113
S210421121702	0.5782425961131222	0.6182856242139257	0.6142655125384023	0.6622903828148717	0.6067103159376076	0.6317733779909865	0.6114797611957993	0.6119130088319461	0.5916946433586733	0.5292812458056851	0.0	0.6744659039327883	0.5800239841081468	0.6076828145833886	0.6434395061317658
S210421121707	0.506910207775366	0.5762434378988531	0.560295918420749	0.49956265619416795	0.5737823220238302	0.5444625988434291	0.5952611722495116	0.4873605830086317	0.5377970195906808	0.5529494003738245	0.6744659039327883	0.0	0.47595734823241626	0.5143762905103333	0.687215617887001
S210421121708	0.486403407442511	0.4976213453381621	0.4770422265041335	0.5261140048519721	0.5317122167921687	0.5328252085656177	0.5463463563357106	0.36027340464736635	0.46690713645780174	0.48838703949479634	0.5800239841081468	0.47595734823241626	0.0	0.4658079323437917	0.5968678711847129
S210421121709	0.4754616751787427	0.500137847370144	0.5041162518400075	0.5243293291951256	0.528898127019354	0.5497997812087907	0.5623294979009109	0.42771389525732784	0.3902912913256862	0.5045603622111274	0.6076828145833886	0.5143762905103333	0.4658079323437917	0.0	0.4957907216337311
S210421121710	0.5962793476748317	0.5726530740239966	0.5715895022873899	0.6770361979149774	0.626694759139245	0.6590304042682454	0.6067553162624526	0.6019551959955856	0.5171806426151508	0.5959926704262113	0.6434395061317658	0.687215617887001	0.5968678711847129	0.4957907216337311	0.0
