group-id	NC	NC	NC	NC	NR	NR	NR	NR	NR
subject_id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.6557114398665761	0.7726972536040639	0.7842275610952819	0.8706086537613689	0.8069480641150119	0.790074074074074	0.8575322767752778	0.599077506965316	0.8848338434185435
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales	0.03004354808820804	0.0034502587694077054	0.15214640486868494	0.0031162831709955546	0.1358781746640094	0.0	0.0	0.0002687405392361187	4.071633607263794e-05
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales	0.0031116807708938166	0.10483864892487024	0.0017259040552289298	0.013581316925353297	0.001362699507724803	0.0017481481481481482	0.003771321197471671	0.053600026325603845	0.004580587808171769
Bacteria|Firmicutes|Clostridia|Lachnospirales	0.18995923157699673	0.014692477481662653	0.02208812870682012	0.018162188667396453	0.015892483008840514	0.017155555555555556	0.07929478499058272	0.13962990588596627	0.018417356016856564
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales	0.0007258014701340416	0.037714291453955114	0.005100240163207685	0.006525053927398559	0.005731854804367452	0.0009037037037037037	0.003678692255779384	0.000795252616106882	0.0014386438745665406
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.010111032182346038	0.046598582229911784	0.0082378562636114	0.023472128728947883	0.0091215698298329	0.12435555555555555	0.018693402613900515	0.08916701401838405	0.040037730471427314
Bacteria|Firmicutes|Bacilli	0.0018106430292173699	0.004304034592987487	0.004106016131392516	0.002808741077515662	0.005821281959561892	0.0013185185185185186	0.0014379540472231167	0.006181032402430731	0.0022936869320919376
Bacteria|Firmicutes|Clostridia|Oscillospirales	0.09379439743035395	0.0033623700816862575	0.011160272357128716	0.025108768820823395	0.007988825864036656	0.0577037037037037	0.030611659778308067	0.0801614637035737	0.037832262267492756
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.002486256099820866	0.0011274863081980058	0.006981088223394823	0.00027098114530396125	0.008125095814809137	0.0017333333333333333	0.0006307589839046186	0.003109711954017945	0.001445429930578647
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.0	0.000693065080317705	0.0	0.011929622325405342	0.0	0.0	0.0	0.0	0.0
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.005682871085304837	3.515547508857924e-05	0.0	0.00961122808224923	0.0	0.0004888888888888889	0.0	0.00039488405765307244	0.001574364994808667
Bacteria|Firmicutes|Clostridia|Monoglobales	0.0008995305454320836	0.0	0.002948240094343683	0.00028173436535570577	0.001984431158124244	0.0005333333333333334	0.00039257027669588156	0.008500976241142532	0.0006786056012106324
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.0006563098400148248	0.006433451941210001	0.0006283840201082887	0.004385163137101405	0.0006813497538624015	0.001288888888888889	0.0012350525558971555	0.005138977250290678	0.001574364994808667
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales	0.0	0.0007181761339524045	0.0	8.602576041395595e-05	0.0	0.0	0.0	0.006115218392821886	0.0
Bacteria|Cyanobacteria|Vampirivibrionia|Gastranaerophilales	0.00023936005929952437	0.0005172877048748089	0.0	0.004750772618860718	0.0	0.0008148148148148148	0.0	0.0001645350240221135	0.00044109364078691104
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales	0.00013126196800296498	0.0002887771167990438	8.608000275456009e-05	0.0003699107697800106	5.535966750132012e-05	0.0009925925925925927	0.00010586164764832761	0.003049382445209837	0.001988314411547153
Bacteria|Firmicutes|Bacilli|Acholeplasmatales	0.0	0.0013359080533660113	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales	0.0	3.7666580452049187e-05	0.0	0.001043062345019216	0.0	0.0	0.0	0.0009488186385275213	0.0
Bacteria|Firmicutes|Clostridia|Peptococcales	0.0017990610908641671	0.00016322184862554648	0.00021520000688640022	0.0006000296788873428	0.00022569710596692048	0.0	0.0011336018102341748	0.0006142640896825571	0.0003189446325689972
Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group	0.0023549941318179012	0.00022348837734882519	3.8736001239552037e-05	0.0027592762652776373	0.0	0.0004740740740740741	0.00011468345161902157	0.0003510080512471755	0.00026465618447214665
Bacteria|Firmicutes|Clostridia|uncultured	0.0	0.00012806637353696723	0.0	0.0	0.0	0.0	0.0	0.0012943421889739595	0.0
Bacteria|Deferribacterota|Deferribacteres|Deferribacterales	0.00025094199765272716	0.00023353279880270497	0.0	0.00013549057265198062	0.0	0.0	0.0	8.775201281179387e-05	0.0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.00010037679906109087	0.000185821796896776	2.1520000688640023e-05	0.0	0.0	0.0	0.0002911195310329009	0.0001645350240221135	0.00014929323226633913
Bacteria|Firmicutes|Bacilli|Staphylococcales	0.0	0.0	0.0	0.0	0.0	0.0004148148148148148	0.00027347592309151297	0.00046618256806265496	0.0016422255549297304
Bacteria|Firmicutes|Bacilli|RF39	0.0	0.0	0.0	3.225966015523348e-05	0.0	0.0	0.0007277988275822523	0.0	0.0
Bacteria|Firmicutes|Clostridia|Christensenellales	2.7024522824139848e-05	8.035537163103827e-05	0.00027976000895232027	0.00030969273749024143	0.0001447868226957603	0.0	0.0	0.00026325603843538163	7.464661613316957e-05
Bacteria|Firmicutes|Clostridia|Clostridiales	0.0	2.2599948271229513e-05	0.0	0.0	0.0	0.0	0.0	0.0002906785424390672	0.0
Bacteria|Actinobacteriota|Actinobacteria|Corynebacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003732330806658478
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.00010423744517882513	4.771100190592897e-05	0.0	5.1615456248373574e-05	0.0	0.0	0.0	0.0	0.0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.0	3.2644369725109294e-05	0.0	0.0	3.832592365476008e-05	0.0	7.498533375089872e-05	0.0	0.0
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	0.0	1.757773754428962e-05	0.0	0.0	0.0	0.0	0.0	3.8391505605159816e-05	0.0
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.678301121031963e-05	0.0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9360507206634055e-05	0.0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.0	2.0088842907759566e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales	0.0	0.0	8.608000275456008e-06	0.0	0.0	0.0	0.0	0.0	0.0
